774;	3517;
775;	3517;
776;	3517;
777;	3517;
778;	3517;
779;	3517;
780;	3517;
781;	3517;
782;	3517;
783;	3517;
784;	3517;
785;	3517;
786;	3517;
787;	3517;
788;	3517;
789;	3517;
790;	3517;
791;	3517;
792;	3517;
793;	3517;
794;	3517;
795;	3517;
796;	3517;
797;	3517;
798;	3517;
799;	3517;
800;	3517;
801;	3517;
802;	3517;
803;	3517;
804;	3517;
805;	3517;
806;	3517;
807;	3517;
808;	3517;
809;	3517;
810;	3517;
811;	3517;
812;	3517;
813;	3517;
814;	3517;
815;	3517;
816;	3517;
817;	3517;
818;	3517;
819;	3517;
820;	3517;
821;	3517;
822;	3517;
823;	3517;
824;	3517;
825;	3517;
826;	3517;
827;	3517;
828;	3517;
829;	3517;
830;	3517;
831;	3517;
832;	3517;
833;	3517;
834;	3517;
835;	3517;
836;	3517;
837;	3517;
838;	3517;
839;	3517;
840;	3517;
841;	3517;
842;	3517;
843;	3517;
844;	3517;
845;	3517;
846;	3517;
847;	3517;
848;	3517;
849;	3517;
850;	3517;
851;	3517;
852;	3517;
853;	3517;
854;	3517;
855;	3517;
856;	3517;
857;	3517;
858;	3517;
859;	3517;
860;	3517;
861;	3517;
862;	3517;
863;	3517;
864;	3517;
865;	3517;
866;	3517;
867;	3517;
868;	3517;
869;	3517;
870;	3517;
871;	3517;
872;	3517;
873;	3517;
874;	3517;
875;	3517;
876;	3517;
877;	3517;
878;	3517;
879;	3517;
880;	3517;
881;	3517;
882;	3517;
883;	3517;
884;	3517;
885;	3517;
886;	3517;
887;	3517;
888;	3517;
889;	3517;
890;	3517;
891;	3517;
892;	3517;
893;	3517;
894;	3517;
895;	3517;
896;	3517;
897;	3517;
898;	3517;
899;	3517;
900;	3517;
901;	3517;
902;	3517;
903;	3517;
904;	3517;
905;	3517;
906;	3517;
907;	3517;
908;	3517;
909;	3517;
910;	3517;
911;	3517;
912;	3517;
913;	3517;
914;	3517;
915;	3517;
916;	3517;
917;	3517;
918;	3517;
919;	3517;
920;	3517;
921;	3517;
922;	3517;
923;	3517;
924;	3517;
925;	3517;
926;	3517;
927;	3517;
928;	3517;
929;	3517;
930;	3517;
931;	3517;
932;	3517;
933;	3517;
934;	3517;
935;	3517;
936;	3517;
937;	3517;
938;	3517;
939;	3517;
940;	3517;
941;	3517;
942;	3517;
943;	3517;
944;	3517;
945;	3517;
946;	3517;
947;	3517;
948;	3517;
949;	3517;
950;	3517;
951;	3517;
952;	3517;
953;	3517;
954;	3517;
955;	3517;
956;	3517;
957;	3517;
958;	3517;
959;	3517;
960;	3517;
961;	3517;
962;	3517;
963;	3517;
964;	3517;
965;	3517;
966;	3517;
967;	3517;
968;	3517;
969;	3517;
970;	3517;
971;	3517;
972;	3517;
973;	3517;
974;	3517;
975;	3517;
976;	3517;
977;	3517;
978;	3517;
979;	3517;
980;	3517;
981;	3517;
982;	3517;
983;	3517;
984;	3517;
985;	3517;
986;	3517;
987;	3517;
988;	3517;
989;	3517;
990;	3517;
991;	3517;
992;	3517;
993;	3517;
994;	3517;
995;	3517;
996;	3517;
